class	pattern	X_found	Y_found	pair	query	context_pre	costr	context_post
no	X and Y	large	breathtaking	large - small	(\blarge) and (?!small)(\b\w+)	 The scenery here is 	large and breathtaking	, while the adventures you'll be partaking in are second to none.
no	X and Y	easy	inexpensive	difficult - easy	(\beasy) and (?!difficult)(\b\w+)	 " " Why ca n't we design homes that are 	easy and inexpensive	 to build?
no	X and Y	poor	uninsured	poor - rich	(\bpoor) and (?!rich)(\b\w+)	 It's time to stand up against the special interests, abortion lobbyists and their allies and instead support 	poor and uninsured	 women and their kids.
no	X and Y	short	sweet	long - short	(\bshort) and (?!long)(\b\w+)	 Keep your request 	short and sweet	 to ensure you get your point across and he listens to what it is you want.
no	X, not Y	good	great	bad - good	(\bgood), not (?!bad)(\b\w+)	 Mayo, Chris Kaman and Elton Brand would simply make the Mavericks 	good, not great	.
no	X or Y	weak	passive	active - passive	(?!active)(\b\w+) or (\bpassive)	 Obama often seemed 	weak or passive	 in his first term.
no	X and Y	high	high	high - low	(\bhigh) and (?!low)(\b\w+)	 It is simple folks, when people buy homes, the listing states the grade school, junior 	high and high	 school associated with that particular house.
no	X and Y	new	finer	new - old	(\bnew) and (?!old)(\b\w+)	 Aparently, we use the word " bring " with a 	new and finer	 meaning than in the past.
no	X and Y	new	finer	new - old	(\bnew) and (?!old)(\b\w+)	 We have benefited greatly from the ability of language to gain 	new and finer	 meanings for existing words, to create new words where none existed, and to discard uses which no longer had relevancy for the speakers.
no	X and Y	quick	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 -- and interaction is 	quick and easy	.
no	X and Y	old	sickening	new - old	(\bold) and (?!new)(\b\w+)	 His tough talk was cute for a while, but it's 	old and sickening	 now.
no	X or Y	feminine	pretty	feminine - masculine	(\bfeminine) or (?!masculine)(\b\w+)	 absolutely, NARS make-up was the @ @ @ @ @ @ @ @ @ @ I've never been that comfortable with my body, so I never looked to clothing or shoes to feel 	feminine or pretty	.
no	X and Y	difficult	hard	hard - soft	(?!soft)(\b\w+) and (\bhard)	 It's 	difficult and hard	 work but God's loving fingers will leave His fingerprints all over our lives.
no	X and Y	happy	beautiful	happy - sad	(\bhappy) and (?!sad)(\b\w+)	 Must say its great to be back in blogland, a place where things are always 	happy and beautiful	!
no	X and Y	happy	SMART	happy - sad	(\bhappy) and (?!sad)(\b\w+)	 In the long run, lasting and loving relationships are a key to a content, 	happy and SMART	 life for every one of us and deserve all the time, attention and effort they take.
no	X and Y	long	healthy	long - short	(\blong) and (?!short)(\b\w+)	 If you are serious about living a 	long and healthy	 life, then read about this tried and tested program to quit smoking now and forever.
no	X and Y	short	meaningful	long - short	(\bshort) and (?!long)(\b\w+)	 The skill should be demonstrated by highlighting key components and provide 	short and meaningful	 cues to guide student learning.
yes	from X to Y	rural	urban	rural - urban	from (rural) to (urban)	 I probably wo n't convince you otherwise, but if rural life is so much more fruitful for people living on the edge, why, in all of history, people move 	from rural to urban	?
no	X, not Y	bad	hideous	bad - good	(\bbad), not (?!good)(\b\w+)	 MSU's final turnover percentage figure was just 	bad, not hideous	, but too many of them led to easy baskets on the other end.
no	X and Y	clean	dry	dry - wet	(?!wet)(\b\w+) and (\bdry)	 The rock was 	clean and dry	, the weather perfect, boosting my confidence that the grip would be sure.
no	X and Y	new	higher	new - old	(\bnew) and (?!old)(\b\w+)	 To remain competitive and to identify 	new and higher	 margin revenue streams, the company must travel up the digital marketing food chain.
no	X and Y	fast	furious	fast - slow	(\bfast) and (?!slow)(\b\w+)	 In fact we can expect a 	fast and furious	 rally but do n't let that fool you.
no	X and Y	mutable	hard	hard - soft	(?!soft)(\b\w+) and (\bhard)	 In fact, though comprehensive statistics are 	mutable and hard	 to come by, we're in the middle of what's often said to be the densest urban commercial winemaking environment in the country.
yes	whether X or Y	public	private	private - public	whether (public) or (private)	 First, government " privatization " often means handing over to the private sector things no one should be doing, 	whether public or private	.
no	X and Y	short	other	long - short	(\bshort) and (?!long)(\b\w+)	 The reason behind it was I had been called 	short and other	 unwanted names as well as been turned down by women for simply being " too short ".
no	X and Y	fresh	new	new - old	(?!old)(\b\w+) and (\bnew)	 Be In the Gray With Me looks 	fresh and new	, thanks in part to the nine gorgeous movers, especially Christina Amendolia and Ellie Kusner.
no	X and Y	happy	prosperous	happy - sad	(\bhappy) and (?!sad)(\b\w+)	 We are used to hope that our future will be 	happy and prosperous	.
no	X and Y	new	previous	new - old	(\bnew) and (?!old)(\b\w+)	 Visitors (new and previous	) spent approximately 3 minutes on the site, meaning they took quality time to learn about our client and its services.
no	X or Y	new	inexperienced	new - old	(\bnew) or (?!old)(\b\w+)	 Since Cooking Planit HD breaks down each step in the cooking process, it is also a boon for 	new or inexperienced	 cooks.
no	X and Y	delicate	private	private - public	(?!public)(\b\w+) and (\bprivate)	 He's a French tutor, in England under a different name @ @ @ @ @ @ @ @ @ @ on 	delicate and private	 business in France.
yes	X and Y	good	bad	bad - good	(good) and (bad)	 But as he always does, he portrays 	good and bad	 in both social scales.
yes	X and Y	right	wrong	right - wrong	(right) and (wrong)	 But as in A Tale of Two Cities, 	right and wrong	 is not dependant on turning the will of the populace.
no	X and Y	plausible	wrong	right - wrong	(?!right)(\b\w+) and (\bwrong)	 Neat, 	plausible and wrong	.
yes	both X and Y	public	private	private - public	both (public) and (private)	 I have a client in Loudoun County whose members live a a community with 	both public and private	 streets.
yes	X or Y	hot	cold	cold - hot	(hot) or (cold)	 Tazo Passion is one of my favorites, it's sweet enough on its own and is great 	hot or cold	.
no	X and Y	high	high	high - low	(\bhigh) and (?!low)(\b\w+)	 I think just publish them at the same time as the better, later stuff (or close to @ @ @ @ @ @ @ @ @ @ in junior 	high and high	 school.
no	X or Y	wrong	misguided	right - wrong	(\bwrong) or (?!right)(\b\w+)	 says here is 	wrong or misguided	.
no	X and Y	small	arbitrary	large - small	(\bsmall) and (?!large)(\b\w+)	 (of which the quotes I posted were a 	small and arbitrary	 sample.
no	X and Y	alive	well	alive - dead	(\balive) and (?!dead)(\b\w+)	 Hell, 25 years ago or so, they exposed Keith Giffin blatantly swiping from Jose Munoz for Ambush Bug, and Giffin's career is still 	alive and well	.
no	X or Y	fun	easy	difficult - easy	(?!difficult)(\b\w+) or (\beasy)	 Men do n't do this much because we know it ai n't 	fun or easy	.
no	X and Y	new	innovating	new - old	(\bnew) and (?!old)(\b\w+)	 They are not what is fresh and 	new and innovating	.
no	X and Y	fresh	new	new - old	(?!old)(\b\w+) and (\bnew)	 They are not what is 	fresh and new	 and innovating.
no	X and Y	new	thrilling	new - old	(\bnew) and (?!old)(\b\w+)	 In its place of making ready exactly the same aged tried-and-true dishes $, do a research for a 	new and thrilling	 recipe 1 night time a week.
no	X and Y	quick	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 Super 	quick and easy	, beautiful to look at, and one of the tastiest recipes I've made in a long time!
no	X and Y	light	populist	heavy - light	(\blight) and (?!heavy)(\b\w+)	 If editorial discretion is applied to this blog, it is applied with an extremely 	light and populist	 touch.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 I just could n't bring myself to write about whether the show was simply 	good or bad	.
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 If enough people think that a genetically modified carrot is a different product than an organic one (health issues, 	right or wrong	 aside), then there is a case to label GMO.
yes	whether X or Y	rich	poor	poor - rich	whether (rich) or (poor)	 And under those words, to vote for a Democratic will not bring peace as touted in psalms, but it will give those of us who respect and accept differences, 	whether rich or poor	, etc.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 All sexual orientations are natural and equally 	good or bad	.
yes	X or Y	large	small	large - small	(large) or (small)	 " Weekends, after school, any job 	large or small	.
no	X or Y	boring	difficult	difficult - easy	(?!easy)(\b\w+) or (\bdifficult)	 I had characters with awful builds stumbling through content inelegantly; I was frequently dying and making a lot of sensible build choices that made characters really 	boring or difficult	 to play for long stretches of time.
no	X or Y	superficial	minor	major - minor	(?!major)(\b\w+) or (\bminor)	5 percent were half-burned or destroyed; many of the remaining units suffered 	superficial or minor	 damage.
no	X and Y	dead	useless	alive - dead	(\bdead) and (?!alive)(\b\w+)	 Unless it produces good deeds, it is 	dead and useless	.
no	X and Y	short	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 Provide a 	short and easy	 path for the users to purchase or receive the product or offer mentioned in the ad.
no	X and Y	short	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 Provide a 	short and easy	 path for the users to purchase or receive the product or offer mentioned in the ad.
no	X or Y	evil	bad	bad - good	(?!good)(\b\w+) or (\bbad)	 When humanity fell, did we become 	evil or bad	?
yes	X or Y	good	bad	bad - good	(good) or (bad)	) can reveal valuable information that correlates with better patient care, such as whether teamwork is 	good or bad	, or whether employees feel they can speak up if they see a medical error in progress.
no	X and Y	happy	cool	happy - sad	(\bhappy) and (?!sad)(\b\w+)	This is the only disadvantage that I have faced but rest everything is 	happy and cool	.
no	X and Y	wet	slippery	dry - wet	(\bwet) and (?!dry)(\b\w+)	 If it looks like a fish and is 	wet and slippery	 like a fish, then it probably is n't a porcupine.
no	X and Y	large	growing	large - small	(\blarge) and (?!small)(\b\w+)	 Wind is a 	large and growing	 business.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 He knew that it did not make a difference whether his grades were 	good or bad	.
yes	both X and Y	good	bad	bad - good	both (good) and (bad)	 After @ @ @ @ @ @ @ @ @ @ the world, 	both good and bad	, are the result of the West.
no	X and Y	long	tall	long - short	(\blong) and (?!short)(\b\w+)	 He was 	long and tall	, much like my self, and always spoke the truth, not so much like myself.
no	X and Y	cheap	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 The $10 DVD collection of John Waters movies was something 	cheap and easy	 to buy there.
no	X and Y	cheap	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 The $10 DVD collection of John Waters movies was something 	cheap and easy	 to buy there.
no	X and Y	short	sweet	long - short	(\bshort) and (?!long)(\b\w+)	 But the workouts are 	short and sweet	 (and exhausting, damn it) and there is a fantastic community around Zuzka (find her on facebook) that is really motivating.
no	X and Y	deep	sad	happy - sad	(?!happy)(\b\w+) and (\bsad)	 In recent weeks that has caused a 	deep and sad	 schism between myself and another family member.
no	X and Y	old	wasted	new - old	(\bold) and (?!new)(\b\w+)	 Old and wasted rockers have 	old and wasted	 eyes.
no	X and Y	cold	miserable	cold - hot	(\bcold) and (?!hot)(\b\w+)	 It was 	cold and miserable	 and scary.
no	X and Y	long	planned	long - short	(\blong) and (?!short)(\b\w+)	 The destruction of the @ @ @ @ @ @ @ @ @ @ 	long and planned	 process.
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 It's too soon to say if he was 	right or wrong	.
no	X and Y	old	slow	new - old	(\bold) and (?!new)(\b\w+)	 But they seem to be very 	old and slow	, and not very athletic.
no	X and Y	minor	localized	major - minor	(\bminor) and (?!major)(\b\w+)	 Each new round of crisis will push more people further down the slope; 	minor and localized	 crises will affect a relatively smaller number of people, while major crises affecting whole nations will affect a much larger number.
no	X or Y	injured	old	new - old	(?!new)(\b\w+) or (\bold)	 Too many stairs when one lives on the 5th floor and gets 	injured or old	?
no	X and Y	old	sick	new - old	(\bold) and (?!new)(\b\w+)	 In other words we do not want to repeat the mistake of lumping the 	old and sick	 in with the criminal and insane expecting functional productive society to emerge.
no	X, not Y	good	great	bad - good	(\bgood), not (?!bad)(\b\w+)	 Just looking at numbers it looks like he's been 	good, not great	.
no	X and Y	intermediate	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 Jorge came to the table and explained the hiking options (easy, 	intermediate and difficult	).
no	X and Y	large	important	large - small	(\blarge) and (?!small)(\b\w+)	 It now has exposure to 7 billion daily impressions on FBX, up from zero in July -- a 	large and important	 new inventory source.
no	X or Y	low	stagnant	high - low	(\blow) or (?!high)(\b\w+)	 But it does imply 	low or stagnant	 growth that slows our improvement in living standards.
yes	how X or Y	good	bad	bad - good	how (good) or (bad)	 Standardized achievement tests have a different measurement mission than indicating 	how good or bad	 a school is.
yes	how X or Y	hot	cold	cold - hot	how (hot) or (cold)	 Tablespoons have a different measurement mission than indicating 	how hot or cold	 something is.
no	X and Y	long	detailed	long - short	(\blong) and (?!short)(\b\w+)	 The newspapers printed letters to the editor, 	long and detailed	 tracts, often republished as broadsides in their own right after first appearing in the weekly.
no	X and Y	true	accurate	false - true	(\btrue) and (?!false)(\b\w+)	 You verify that all information associated with Your profile is 	true and accurate	.
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 " It's a completely different question whether it's 	right or wrong	.
no	X and Y	heavy	sluggish	heavy - light	(\bheavy) and (?!light)(\b\w+)	 My legs still felt 	heavy and sluggish	, except when doing ironman power or pace.
no	X or Y	starving	short	long - short	(?!long)(\b\w+) or (\bshort)	 the future and past do n't exist just now, and if one is commenting on this piece they are not likely 	starving or short	 on Maslowe's hierarchy of needs.
no	X and Y	hard	stressful	hard - soft	(\bhard) and (?!soft)(\b\w+)	 Life does n't have to be 	hard and stressful	 and competitive.
yes	X and Y	private	public	private - public	(private) and (public)	 The question we have @ @ @ @ @ @ @ @ @ @ to need large 	private and public	 corporations for production and wealth distribution?
no	X and Y	new	effective	new - old	(\bnew) and (?!old)(\b\w+)	 Individuals will always find 	new and effective	 ways to spend their time creating new wealth by identifying new ways of meeting the desires of others.
yes	both X and Y	new	old	new - old	both (new) and (old)	 It was great to be back in Durham and reconnect with the Fuqua community, 	both new and old	!
no	X and Y	excited	happy	happy - sad	(?!sad)(\b\w+) and (\bhappy)	 Just go out there and play loose and 	excited and happy	 and see what happens, " Swepson said.
yes	X or Y	large	small	large - small	(large) or (small)	 and all companies, no matter if they are 	large or small	, they all have the potential to do things right and things wrong.
no	X and Y	alive	well	alive - dead	(\balive) and (?!dead)(\b\w+)	 The replacement and upgrade market is 	alive and well	, and there are still more than 100 million Americans who do n't yet have smartphones that will ultimately have smartphones.
no	X and Y	satisfied	happy	happy - sad	(?!sad)(\b\w+) and (\bhappy)	 Although many people assume that popular activities like watching TV are enjoyable, their own reports generally indicate that they feel more engaged, energetic, 	satisfied and happy	 when doing other things.
no	X and Y	good	competent	bad - good	(\bgood) and (?!bad)(\b\w+)	 He's a 	good and competent	 reviewer, however, and an interesting, funny guy.
no	X and Y	sweet	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 These horses are 	sweet and good	 and healthy.
no	X and Y	good	healthy	bad - good	(\bgood) and (?!bad)(\b\w+)	 These horses are sweet and 	good and healthy	.
no	X and Y	deaf	hard	hard - soft	(?!soft)(\b\w+) and (\bhard)	 The 	deaf and hard	 of hearing students had availed themselves of a much larger world, but it was a world that views them through what they do n't have rather than what they have.
yes	X and Y	new	old	new - old	(new) and (old)	 The decision makers, 	new and old	, will continue to make goofball decisions and occasionally desecrate what we hold sacred in spite of good advice.
no	X and Y	sad	beautiful	happy - sad	(\bsad) and (?!happy)(\b\w+)	 And it's an incredibly cruel life moment and it's 	sad and beautiful	 and it's funny and that's what I wanted to explore.
yes	X and Y	new	old	new - old	(new) and (old)	 Now, in my new life, there are many movies 	new and old	.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 Passionate discussions on 	good or bad	 movies between two intellectual critics are always joy to watch.
no	X and Y	rich	powerful	poor - rich	(\brich) and (?!poor)(\b\w+)	 The men you're persecuting have 	rich and powerful	 friends, who will use desperate cure for desperate cases -- so beware.
no	X and Y	grand	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 It would have been a 	grand and good	 thing had it really been possible to achieve free government in Iraq simply by ousting the tyrant.
no	X or Y	rich	successful	poor - rich	(\brich) or (?!poor)(\b\w+)	 Out of those who are now reading this sentence, some of you are certain to become 	rich or successful	, and some of you may die in poverty and misery.
no	X and Y	idle	rich	poor - rich	(?!poor)(\b\w+) and (\brich)	 They were a nice place for the idle rich to hang out waiting for their father to retire and take over the business, or find an equally 	idle and rich	 spouse.
no	X and Y	good	original	bad - good	(\bgood) and (?!bad)(\b\w+)	 Falling Skies only wishes it was as 	good and original	.
no	X and Y	well	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 It's all 	well and good	 to discuss folklore versions of vampires, but you do n't have a statistically correct and relevant sample if you completely disregard modern mythology, which all but nullifies the entire argument.
no	X and Y	difficult	unpleasant	difficult - easy	(\bdifficult) and (?!easy)(\b\w+)	 His employees were 	difficult and unpleasant	.
no	X and Y	small	tubular	large - small	(\bsmall) and (?!large)(\b\w+)	 I was surprised when I moved to Arkansas to discover that their dumplings were 	small and tubular	.
no	X and Y	intrinsic	high	high - low	(?!low)(\b\w+) and (\bhigh)	 " He summed it up by saying, " ONR's style has 	intrinsic and high	 value.
no	X and Y	true	effective	false - true	(\btrue) and (?!false)(\b\w+)	 Therefore, it is most necessary that economic life be again subjected to and governed by a 	true and effective	 directing principle.
yes	neither X nor Y	right	wrong	right - wrong	neither (right) nor (wrong)	 There is 	neither right nor wrong	 outside the social nexus " (p.
no	X and Y	private	intimate	private - public	(\bprivate) and (?!public)(\b\w+)	 That is like writers of cheap fiction who like to show every 	private and intimate	 aspect of life under the title of being " realistic ".
no	X or Y	bad	worse	bad - good	(\bbad) or (?!good)(\b\w+)	 It took ten years for them to discover that this new drug under the trade name " heroin " was just as 	bad or worse	.
no	X and Y	short	female	female - male	(?!male)(\b\w+) and (\bfemale)	 And being of the 	short and female	 persuasion it seems tailored to me.
yes	X or Y	bad	good	bad - good	(bad) or (good)	 I say: desire just IS, it's not 	bad or good	 -- but sometimes choosing to act on certain desires is a bad thing.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 You ask if we feminists are to determine if some desires are 	good or bad	.
no	both X and Y	emotive	active	active - passive	both (?!passive)(\b\w+) and (\bactive)	 We need heroines who are 	both emotive and active	, who learn and make mistakes.
no	X and Y	rare	hard	hard - soft	(?!soft)(\b\w+) and (\bhard)	 And fiction that does that is 	rare and hard	 to come by.
yes	X and Y	masculine	feminine	feminine - masculine	(masculine) and (feminine)	 They compound their error by pretending that there are definitive 	masculine and feminine	 characteristics with absolutely no crossover between.
no	X or Y	poor	struggling	poor - rich	(\bpoor) or (?!rich)(\b\w+)	 What these faiths need is to get with the behavioral sciences quickly and start finding solutions to many of their 	poor or struggling	 members with real issues in the here-and-now to deal with.
no	X or Y	Good	bad	bad - good	(?!good)(\b\w+) or (\bbad)	 	Good or bad	.
no	X and Y	big	heavy	heavy - light	(?!light)(\b\w+) and (\bheavy)	 It was so 	big and heavy	 that I could n't get it in the car or even walk it down the street (we live on the next block).
yes	X and Y	large	small	large - small	(large) and (small)	 those details, 	large and small	, can really ratchet up the stress.
no	X and Y	late	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 Much rather they are 	late and good	 than be on time and crash.
no	X and Y	cold	vampiric	cold - hot	(\bcold) and (?!hot)(\b\w+)	 I think people assume Ramsay to have the 	cold and vampiric	 look of his father which would explain the Cillian Murphy fancasting but they fail to consider his drastically different environment.
no	X and Y	rich	rife	poor - rich	(\brich) and (?!poor)(\b\w+)	 Between James Collins, Matt Daly, John Helps, Jamie Ward and Robin Southby on drums, keyboards, bass and guitars respectively, this band cranks out driving and deliberate rock that is so sonically 	rich and rife	 with emotion.
no	X and Y	dry	gritty	dry - wet	(\bdry) and (?!wet)(\b\w+)	 " he croaked, his mouth 	dry and gritty	.
no	X, not Y	low	fit	high - low	(\blow), not (?!high)(\b\w+)	 I am after all only an orc -- the lowliest of the 	low, not fit	 to lick your boots.
no	X and Y	unsupported	dead	alive - dead	(?!alive)(\b\w+) and (\bdead)	 If I invest in Plone today, will the thing I invested in be 	unsupported and dead	 in a year?
yes	X and Y	large	small	large - small	(large) and (small)	 Companies 	large and small	 abandoned their responsibility for pensions and forced workers into risky 401 (k) accounts that place their retirement savings into Wall Street's pocket.
no	X and Y	local	long	long - short	(?!short)(\b\w+) and (\blong)	 job with issues that come 	local and long	 distance.
no	X and Y	uninspired	hard	hard - soft	(?!soft)(\b\w+) and (\bhard)	 They were largely 	uninspired and hard	 to empathize with, and there was the inevitable blowback of more interesting acts like Nine Inch Nails or Nirvana.
yes	X and Y	old	new	new - old	(old) and (new)	 It was around this point when I discovered The White Stripes and began to really discover music, 	old and new	.
yes	X or Y	fast	slow	fast - slow	(fast) or (slow)	 It can be casual or sophisticated according to your mood, as 	fast or slow	 as time allows.
no	X and Y	small	cozy	large - small	(\bsmall) and (?!large)(\b\w+)	 Peter's is a byob, 	small and cozy	, with a great selection on the menu and generous-sized portions.
no	X and Y	confusing	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 Consumer advocates and the Government Accountability Office have faulted the " Request for Review " letters that regulators sent to homeowners as being 	confusing and difficult	 to understand.
no	X and Y	dark	heavy	heavy - light	(?!light)(\b\w+) and (\bheavy)	 I loved Saigon -- the colors, the whirl, the endless energy, the broad smiles, the food -- but was n't so taken with Hanoi, which felt 	dark and heavy	 to me.
no	X and Y	round	short	long - short	(?!long)(\b\w+) and (\bshort)	 @ @ @ @ @ @ @ @ @ @ is 	round and short	, and Trollope can not keep from telling jokes about Dr.
no	X and Y	soft	smooth	hard - soft	(\bsoft) and (?!hard)(\b\w+)	 These products have benefits specially formulated for slowing hair loss, and making the hair you have left 	soft and smooth	.
no	X and Y	basic	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 The @ @ @ @ @ @ @ @ @ @ play this as the controls are 	basic and easy	 to use.
no	X and Y	young	old	new - old	(?!new)(\b\w+) and (\bold)	 This is a game for everyone as the 	young and old	 can play it easily, the controls system is instantly usable and the weapons give a nice balance to the game.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 So whether incandescent bulbs are 	good or bad	 can depend on where you live.
yes	X and Y	good	bad	bad - good	(good) and (bad)	 There are 	good and bad	 publishing venues, and rigorous and not-so-rigorous fields in academia.
no	X and Y	wrong	silly	right - wrong	(\bwrong) and (?!right)(\b\w+)	 " It's not a question of data at all " is 	wrong and silly	, though.
no	X and Y	happy	healthy	happy - sad	(\bhappy) and (?!sad)(\b\w+)	 All of them seem to be 	happy and healthy	!
yes	both X and Y	female	male	female - male	both (female) and (male)	 You are an enabler of 	both female and male	 abusers.
yes	both X and Y	male	female	female - male	both (male) and (female)	 for years we've worked with the Antelope Valley DV Council, which shelters 	both male and female	 victims (and which was mistreated by other shelters for doing so).
yes	both X and Y	male	female	female - male	both (male) and (female)	 What we do is we cite the data for 	both male and female	 victims.
yes	X and Y	male	female	female - male	(male) and (female)	 lied) in order to see if there was a difference in how 	male and female	 applicants are treated.
no	X and Y	abundant	rich	poor - rich	(?!poor)(\b\w+) and (\brich)	 It's so easy to take things for granted when you live in a country that is 	abundant and rich	, like America.
no	X and Y	happy	comfortable	happy - sad	(\bhappy) and (?!sad)(\b\w+)	 I'm very 	happy and comfortable	.
no	X or Y	bad	upsetting	bad - good	(\bbad) or (?!good)(\b\w+)	 Well sometimes, in life, is good for 	bad or upsetting	 things to happen.
no	X and Y	rich	fancy	poor - rich	(\brich) and (?!poor)(\b\w+)	 She is a 	rich and fancy	 woman.
no	X and Y	happy	comfortable	happy - sad	(\bhappy) and (?!sad)(\b\w+)	 Looking very 	happy and comfortable	 with each other.
no	X and Y	long	rich	poor - rich	(?!poor)(\b\w+) and (\brich)	 It reminds us that our moment in history is but one brief passage in the 	long and rich	 history of the Church.
no	X and Y	old	sick	new - old	(\bold) and (?!new)(\b\w+)	 He just wo n't let himself accept that his dog is 	old and sick	.
no	X and Y	large	profitable	large - small	(\blarge) and (?!small)(\b\w+)	 They target 	large and profitable	 firms that tend to pay higher wages.
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 I do nt care which religion is 	right or wrong	.
yes	both X and Y	long	short	long - short	both (long) and (short)	 It provides the ability for 	both long and short	 term planning.
no	X and Y	small	true	false - true	(?!false)(\b\w+) and (\btrue)	 While they take their share of the $30 billion-a-year organic food industry, 	small and true	 organics are laid to waste.
no	X and Y	cheap	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 People will have their own opinions as opinions are 	cheap and easy	 to have.
yes	X and Y	good	bad	bad - good	(good) and (bad)	 People can do 	good and bad	 things at the same time; that does n't mean that we have to accept the bad things without critique.
no	X and Y	fine	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 That is totalitarianism @ @ @ @ @ @ @ @ @ @ enquiry is 	fine and good	 unless you disagree with me, and then you are using " intimidation tactics.
no	neither X nor Y	new	unique	new - old	neither (\bnew) nor (?!old)(\b\w+)	 Thio's views on homosexuality are 	neither new nor unique	, they've likely been encountered by just about everyone who has an opinion on the subject.
no	X and Y	tried	true	false - true	(?!false)(\b\w+) and (\btrue)	 a pretty 	tried and true	 rhetorical tactic.
no	between X and Y	homophobic	masculine	feminine - masculine	between (?!feminine)(\b\w+) and (\bmasculine)	 It's a complex interaction 	between homophobic and masculine	 sexuality under patriarchy, wherein gay men are made vulnerable to sexualized violence and silenced as survivors.
no	X and Y	sad	pathetic	happy - sad	(\bsad) and (?!happy)(\b\w+)	 Just because you are 	sad and pathetic	 in your lives does not mean you can be obnoxious to anyone.
no	X and Y	light	portable	heavy - light	(\blight) and (?!heavy)(\b\w+)	 If you plan a giveaway, think 	light and portable	.
no	X and Y	short	consecutive	long - short	(\bshort) and (?!long)(\b\w+)	 The closest we come to violating this (but still, far short of the line) is when we have 3 	short and consecutive	 POVs to finish off a chapter.
no	X or Y	new	unique	new - old	(\bnew) or (?!old)(\b\w+)	 Hardly a 	new or unique	 attitude among AS.
no	X and Y	wrong	illegal	right - wrong	(\bwrong) and (?!right)(\b\w+)	 Has she sent a proclamation to the lands, or a message to Rand, saying what happened and repudiating it as 	wrong and illegal	?
yes	X and Y	good	bad	bad - good	(good) and (bad)	 The seeds for this are evident in Egwene's character traits, 	good and bad	, in a very organic and logical way.
yes	X and Y	major	minor	major - minor	(major) and (minor)	 One, Egwene is no more a " favorite character " than any of the other main characters or most of the 	major and minor	 ones.
no	X and Y	well	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 Following a great leader is all 	well and good	 - but not if he's leading you over a cliff, eh?
no	X and Y	left	right	right - wrong	(?!wrong)(\b\w+) and (\bright)	 In a year, you'll look 	left and right	 and see a gang member.
yes	X and Y	rural	urban	rural - urban	(rural) and (urban)	 Updating agricultural definitions and policies to reflect that a new generation of algae producers is part of America's deep agriculture tradition is something Congressional members from 	rural and urban	 districts could proudly support.
no	X and Y	difficult	contentious	difficult - easy	(\bdifficult) and (?!easy)(\b\w+)	 As trust increases, it will be easier to tackle the more 	difficult and contentious	 issues.
yes	either X or Y	happy	sad	happy - sad	either (happy) or (sad)	 And then for the rest of the day I could make you 	either happy or sad	.
no	X and Y	long	costly	long - short	(\blong) and (?!short)(\b\w+)	 Even so, 	long and costly	 undersea transmission is required, since the OTEC unit must be out in deep water (1000 meters).
no	X and Y	light	fluffy	heavy - light	(\blight) and (?!heavy)(\b\w+)	 But the real mark of a great congee is in its texture -- it should be 	light and fluffy	 like white clouds, yet robust.
no	X and Y	old	sad	happy - sad	(?!happy)(\b\w+) and (\bsad)	 " It is disheartening to read that the minister has fallen for the 	old and sad	 myth that koalas in Victoria have'eaten themselves out of house and home'.
no	X and Y	large	thoughtful	large - small	(\blarge) and (?!small)(\b\w+)	 He has a poetic way of taking things that seem small or insignificant and making them 	large and thoughtful	.
no	X or Y	small	insignificant	large - small	(\bsmall) or (?!large)(\b\w+)	 He has a poetic way of taking things that seem 	small or insignificant	 and making them large and thoughtful.
no	X and Y	slow	methodical	fast - slow	(\bslow) and (?!fast)(\b\w+)	 It's not a fast-moving thriller, by a 	slow and methodical	 one.
no	X and Y	short	sweet	long - short	(\bshort) and (?!long)(\b\w+)	 And since this is my very first time blogging for you, I will keep it 	short and sweet	 and leave you with.
