yes	X or Y	bad	indifferent	bad - good	(\bbad) or (?!good)(\b\w+)	 " She's confident with me as the manager, and I plan to communicate with her and offer my assessments of what's going on: good, 	bad or indifferent.
yes	neither X nor Y	small	frail	large - small	neither (\bsmall) nor (?!large)(\b\w+)	 Though 	neither small nor frail, he always seemed to hold back when other children his age played at full-throttle.
yes	X or Y	new	changed	new - old	(\bnew) or (?!old)(\b\w+)	 This could include 	new or changed	 facilities, frequency allocations, antenna design or related matters of broadcast engineering.
yes	X and Y	old	venerable	new - old	(\bold) and (?!new)(\b\w+)	 " Something that is an adventure story but also something that is 	old and venerable	 enough that teachers generally approve their students knowing more about, " says Carlston.
yes	X and Y	urban	suburban	rural - urban	(\burban) and (?!rural)(\b\w+)	 This pave and paw up is epidemic 	urban and suburban	 wide.
yes	X and Y	small	uncertain	large - small	(\bsmall) and (?!large)(\b\w+)	 The " 	small and uncertain	 @ @ @ @ @ @ @ @ @ @ treacherous.
yes	X and Y	small	squarish	large - small	(\bsmall) and (?!large)(\b\w+)	 Both books, incidentally, are visual and tactile treats, " The Company of Dogs " 	small and squarish	 like a missal, " The Literary Dog " wide and hefty like an album.
yes	X or Y	old	modern	new - old	(\bold) or (?!new)(\b\w+)	 Thousands, even millions of dollars may ride on determinations of the authenticity and caliber of works attributed to 	old or modern	 masters.
yes	X and Y	noble	true	false - true	(?!false)(\b\w+) and (\btrue)	 Blochwitz's ringing tenor produces a glorious sound, 	noble and true; his sweet, shapely account of " Un'aura amorosa " is memorable.
yes	X and Y	clean	sober	drunk - sober	(?!drunk)(\b\w+) and (\bsober)	 She has been 	clean and sober	 for two years, she says, after 30 years of heroin addiction.
yes	X and Y	big	small	large - small	(?!large)(\b\w+) and (\bsmall)	 Farm pigs 	big and small	 have traditionally cooled off in the mucky stuff because they do not sweat.
yes	X and Y	big	heavy	heavy - light	(?!light)(\b\w+) and (\bheavy)	 If they are n't handled properly, they can get too 	big and heavy.
yes	X or Y	quick	slow	fast - slow	(?!fast)(\b\w+) or (\bslow)	 Walking a mile burns 100 calories, whether the pace is 	quick or slow.
yes	X and Y	long	acrimonious	long - short	(\blong) and (?!short)(\b\w+)	 After his 	long and acrimonious	 separation from the company, Fernando Bujones returned, danced boldly and was cheered.
yes	X and Y	cold	gray	cold - hot	(\bcold) and (?!hot)(\b\w+)	 The August morning was 	cold and gray, still shrouded in damp fog.
yes	X and Y	solid	rich	poor - rich	(?!poor)(\b\w+) and (\brich)	 And through this relationship, and relationships with other Mexican families thrust into this agricultural society, I got an education as 	solid and rich	 as the earth we worked.
yes	X and Y	rich	immense	poor - rich	(\brich) and (?!poor)(\b\w+)	 Costumes are 	rich and immense, festooned in autumn colors representing a princely palette of golds, reds, goldenrods and maroons.
yes	X and Y	small	large	large - small	(small) and (large)	 Board members insist there are few issues that divide the Chamber's 	small and large	 businesses.
yes	X and Y	good	useful	bad - good	(\bgood) and (?!bad)(\b\w+)	 Like modern physics, it's a system that's expected to be 	good and useful	 for a while and then be replaced by something better.
yes	X and Y	large	complex	large - small	(\blarge) and (?!small)(\b\w+)	 It takes a lot of effort and a lot of time to turn around an operation as 	large and complex	 as this one.
yes	X or Y	dull	false	false - true	(?!true)(\b\w+) or (\bfalse)	 " The Piano Lesson " moves easily and naturally through its nearly three hours, but it flies by without a 	dull or false	 moment.
yes	X and Y	drunk	vulnerable	drunk - sober	(\bdrunk) and (?!sober)(\b\w+)	 Rather, they looked like a toothless, punch-	drunk and vulnerable	 old champ trying to clutch and grab and wait for the bell to save him.
yes	X and Y	new	used	new - old	(\bnew) and (?!old)(\b\w+)	 Zillions of 	new and used	 books on every subject in the free world line the shelves.
yes	X and Y	cold	clammy	cold - hot	(\bcold) and (?!hot)(\b\w+)	 And like an oyster, it's 	cold and clammy, which some people never get over.
yes	X and Y	large	controversial	large - small	(\blarge) and (?!small)(\b\w+)	 And his screenplay, " Out of the Rain, " has just @ @ @ @ @ @ @ @ @ @ " Beijing Legends " is a 	large and controversial	 undertaking.
yes	X and Y	fast	affordable	fast - slow	(\bfast) and (?!slow)(\b\w+)	 Often, these ads make the surgery seem 	fast and affordable, promising spectacular results.
yes	X or Y	false	meaningless	false - true	(\bfalse) or (?!true)(\b\w+)	 Often ads mention 	false or meaningless	 credentials, such as describing a physician as a " board certified cosmetic surgeon, " when no recognized medical board with that title exists.
yes	X or Y	wonderful	easy	difficult - easy	(?!difficult)(\b\w+) or (\beasy)	 Not all of it will be 	wonderful or easy.
yes	from X to Y	low	high	high - low	from (low) to (high)	 And as cattle are moved 	from low to high	 pasture land, he said, the weed usually goes along.
yes	both X and Y	rich	poor	poor - rich	both (rich) and (poor)	 I read, for example, that the state court of Appeal has forbidden San Francisco's homeless from sleeping overnight in cars, saying that the ruling is not discriminatory because it applies to 	both rich and poor.
yes	X and Y	rich	poor	poor - rich	(rich) and (poor)	 I read, for example, that the state court of Appeal has forbidden San Francisco's homeless from sleeping overnight in cars, saying that the ruling is not discriminatory because it applies to both 	rich and poor.
yes	X and Y	male	female	female - male	(male) and (female)	 If you can afford one, make sure it has a direct link to police, says Figgie International, which surveyed 589 	male and female	 prisoners convicted of property crimes.
yes	X and Y	creamy	rich	poor - rich	(?!poor)(\b\w+) and (\brich)	 The lime-cilantro-jalapeno ice cream, though it sounds weird, is exhilarating; the mango-guava is 	creamy and rich.
yes	X and Y	age	old	new - old	(?!new)(\b\w+) and (\bold)	 Young, middle-	age and old	 people came from all over the world to see and feel the love, peace and happiness that were blowing in the Haight.
yes	X and Y	private	peaceful	private - public	(\bprivate) and (?!public)(\b\w+)	 My fear is that incited, irrational Palestinian women and children (rarely does one see adult males) will attempt to stone us during this most 	private and peaceful	 of moments.
yes	X and Y	young	old	new - old	(?!new)(\b\w+) and (\bold)	 Horizons for 	young and old	 alike are so limited that high school football is the biggest thing in their empty, boring lives.
yes	X and Y alike	young	old	new - old	(?!new)(\b\w+) and (\bold) alike	 Horizons for 	young and old alike	 are so limited that high school football is the biggest thing in their empty, boring lives.
yes	X and Y	poor	middle	poor - rich	(\bpoor) and (?!rich)(\b\w+)	 Hopefully, our environment and the 	poor and middle	 classes wo n't have to suffer for eight years like they did with Reagan and Bush will just go down in the next election.
yes	X and Y	soft	translucent	hard - soft	(\bsoft) and (?!hard)(\b\w+)	 Add the sliced onions and garlic and cook over medium heat until 	soft and translucent, but not browned.
yes	X and Y	great	bad	bad - good	(?!good)(\b\w+) and (\bbad)'As if I sat amongst two piles of scripts, 	great and bad, and said,'Oh, let me do these s- - - - - scripts.
yes	X and Y	wide	low	high - low	(?!high)(\b\w+) and (\blow)	 You have the @ @ @ @ @ @ @ @ @ @ umpires call a very 	wide and low	 strike zone.
yes	X and Y	clean	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 The taste is 	clean and good.
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 Whether all the ideas were 	right or wrong, were on or off, there was such vitality to it.
yes	X and Y	difficult	bloodier	difficult - easy	(\bdifficult) and (?!easy)(\b\w+)	 If this malignant dictator is allowed to keep his weapons of mass destruction, we assure a much more 	difficult and bloodier	 fight down the road.
yes	X and Y	new	fresh	new - old	(\bnew) and (?!old)(\b\w+)	 " " The audience was looking for something 	new and fresh, " he says.
yes	X and Y	open	small	large - small	(?!large)(\b\w+) and (\bsmall)	 It was urban, 	open and small.
yes	either too X or too Y	easy	difficult	difficult - easy	either too (easy) or too (difficult)	 The game is hampered by the fact that the questions tend to be 	either too easy or too difficult, so winning is just a matter of luck.
yes	X and Y	hot	cold	cold - hot	(hot) and (cold)	 Downstairs @ @ @ @ @ @ @ @ @ @ sauna and 	hot and cold	 tubs.
yes	X and Y	rich	poor	poor - rich	(rich) and (poor)	 " Really means nothing just 	rich and poor	 / Drink sake after 5 throwing up everywhere / Kam pai (" here's to ") the big business.
yes	X or Y	long	strong	long - short	(\blong) or (?!short)(\b\w+)	 He does not have a 	long or strong	 pro-environment record, analysts say.
yes	X and Y	long	deep	long - short	(\blong) and (?!short)(\b\w+)	 Chileans take pride in their 	long and deep	 tradition of democratic civility.
yes	X and Y	hard	unfair	hard - soft	(\bhard) and (?!soft)(\b\w+)	 This part of the life just seemed too 	hard and unfair.
yes	X and Y	small	neat	large - small	(\bsmall) and (?!large)(\b\w+)	 Our backyard is 	small and neat.
