class	pattern	X_found	Y_found	pair	query	sent_id	context_pre	costr	context_post	text
no	X and Y	false	misleading	false - true	(\bfalse) and (?!true)(\b\w+)	42691	" To call anything else a "" cure "" is "	false and misleading	.	" To call anything else a "" cure "" is  false and misleading ."
no	X and Y	new	true	false - true	(?!false)(\b\w+) and (\btrue)	28222	 Now he has to deal with a 	new and true	 reality; he never was the first Black President.	 Now he has to deal with a  new and true  reality; he never was the first Black President.
no	X and Y	tried	true	false - true	(?!false)(\b\w+) and (\btrue)	35169	 The best advice here is still the 	tried and true	, says Wallace: Use a clarifying shampoo (try Charles Worthington Dream Hair Unbelievably Clean Total Detox Shampoo, $14, left) once a week.	 The best advice here is still the  tried and true , says Wallace: Use a clarifying shampoo (try Charles Worthington Dream Hair Unbelievably Clean Total Detox Shampoo, $14, left) once a week.
no	X and Y	true	untrue	false - true	(\btrue) and (?!false)(\b\w+)	35295	 The breakdown of all distinctions between what's 	true and untrue	?	 The breakdown of all distinctions between what's  true and untrue ?
no	X and Y	immediate	true	false - true	(?!false)(\b\w+) and (\btrue)	48163	'The voice was so raw and 	immediate and true	.	'The voice was so raw and  immediate and true .
no	X and Y	valid	true	false - true	(?!false)(\b\w+) and (\btrue)	6951	 And assuming their convictions are 	valid and true	", is there hope for "" death row "" inmates and people serving life without possibility of parole?"	" And assuming their convictions are  valid and true , is there hope for "" death row "" inmates and people serving life without possibility of parole?"
no	X and Y	simple	true	false - true	(?!false)(\b\w+) and (\btrue)	4612	 @ @ @ @ @ @ @ @ @ @ 	simple and true	!	 @ @ @ @ @ @ @ @ @ @  simple and true !
no	X and Y	positive	false	false - true	(?!true)(\b\w+) and (\bfalse)	14565	 Fundamental to the utility of behavior rating scales is the expectation that they have high predictive accuracy, to avoid both false 	positive and false	 negative labeling.	 Fundamental to the utility of behavior rating scales is the expectation that they have high predictive accuracy, to avoid both false  positive and false  negative labeling.
no	X and Y	tried	true	false - true	(?!false)(\b\w+) and (\btrue)	15189	" He also stated that "" what they have done can not be fixed through the ballot box, but only the old "	tried and true	" soviet way ""."	" He also stated that "" what they have done can not be fixed through the ballot box, but only the old  tried and true  soviet way ""."
no	X and Y	straight	true	false - true	(?!false)(\b\w+) and (\btrue)	15232	 He bombed a 3-wood 	straight and true	, and the ball trickled up the narrow opening to the putting surface and came to rest on the green 45 feet away from a possible eagle.	 He bombed a 3-wood  straight and true , and the ball trickled up the narrow opening to the putting surface and came to rest on the green 45 feet away from a possible eagle.
no	X and Y	straight	true	false - true	(?!false)(\b\w+) and (\btrue)	26900	 Moral of the story: when you build something on a foundation of hate, it will never stand 	straight and true	.	 Moral of the story: when you build something on a foundation of hate, it will never stand  straight and true .
no	X and Y	real	true	false - true	(?!false)(\b\w+) and (\btrue)	16382	 Hence, since the human nature is the 	real and true	 nature of Christ, that human nature and all its parts are the object of the cult called latria, i.	 Hence, since the human nature is the  real and true  nature of Christ, that human nature and all its parts are the object of the cult called latria, i.
no	X and Y	true	authoritative	false - true	(\btrue) and (?!false)(\b\w+)	36954	 The merely argumentative and justificatory statements embodied in definitive judgments, however 	true and authoritative	 they may be, are not covered by the guarantee of infallibility which attaches to the strictly definitive sentences?	 The merely argumentative and justificatory statements embodied in definitive judgments, however  true and authoritative  they may be, are not covered by the guarantee of infallibility which attaches to the strictly definitive sentences?
no	X and Y	full	true	false - true	(?!false)(\b\w+) and (\btrue)	10894	 But you must remember that promotion in itself is not the 	full and true	 assessment of an official as a person.	 But you must remember that promotion in itself is not the  full and true  assessment of an official as a person.
no	X and Y	calm	true	false - true	(?!false)(\b\w+) and (\btrue)	11598	" Come on hack out in the yard so I can see, "" his voice strangely "	calm and true	 to the way it'd always been.	" Come on hack out in the yard so I can see, "" his voice strangely  calm and true  to the way it'd always been."
no	X and Y	sharp	true	false - true	(?!false)(\b\w+) and (\btrue)	12650	 Each of the last leaves stood out 	sharp and true	, each leaf bearing witness to the children dodging and darting among the pockets of deepening shadow.	 Each of the last leaves stood out  sharp and true , each leaf bearing witness to the children dodging and darting among the pockets of deepening shadow.
no	X and Y	misleading	false	false - true	(?!true)(\b\w+) and (\bfalse)	39323	 There are far more sources than the CDC, and what they are stating aways has alway been a bunch of 	misleading and false	 propaganda.	 There are far more sources than the CDC, and what they are stating aways has alway been a bunch of  misleading and false  propaganda.
no	X and Y	tried	true	false - true	(?!false)(\b\w+) and (\btrue)	44878	 When WMD's were n't discovered new excuses were generated and the 	tried and true	 standby, generate fear among the people, was heavily used.	 When WMD's were n't discovered new excuses were generated and the  tried and true  standby, generate fear among the people, was heavily used.
no	X and Y	pure	true	false - true	(?!false)(\b\w+) and (\btrue)	40915	 They want more caring pastors, more relevant pastors, younger pastors, pastors with better rhetoric, pastors who are dogmatic and make them feel like their Christianity is the 	pure and true	 Christianity, but not pastors who have doctorates.	 They want more caring pastors, more relevant pastors, younger pastors, pastors with better rhetoric, pastors who are dogmatic and make them feel like their Christianity is the  pure and true  Christianity, but not pastors who have doctorates.
no	X and Y	true	accurate	false - true	(\btrue) and (?!false)(\b\w+)	46546	 You have to get them young to ensure they believe in God before you can tell them the Bible is n't 100% 	true and accurate	.	 You have to get them young to ensure they believe in God before you can tell them the Bible is n't 100%  true and accurate .
no	X and Y	dramatic	true	false - true	(?!false)(\b\w+) and (\btrue)	6847	 And I make characters with this intention because I think we were all made and become interesting and 	dramatic and true	 by the very same method -- which is to say, again, rather fortuitously.	 And I make characters with this intention because I think we were all made and become interesting and  dramatic and true  by the very same method -- which is to say, again, rather fortuitously.
no	X and Y	big	true	false - true	(?!false)(\b\w+) and (\btrue)	14701	 Genoa's greens are 	big and true	, and the course maintenance is excellent.	 Genoa's greens are  big and true , and the course maintenance is excellent.
no	X and Y	beautiful	true	false - true	(?!false)(\b\w+) and (\btrue)	18037	 I built worlds in my head -- great and 	beautiful and true	, full of the frailties and powers of life -- then came the gnawing and pounding of robots.	 I built worlds in my head -- great and  beautiful and true , full of the frailties and powers of life -- then came the gnawing and pounding of robots.
no	X and Y	false	delusive	false - true	(\bfalse) and (?!true)(\b\w+)	42674	 To be of the truth stands opposed to cherishing 	false and delusive	 hopes.	 To be of the truth stands opposed to cherishing  false and delusive  hopes.
no	X and Y	false	hateful	false - true	(\bfalse) and (?!true)(\b\w+)	20490	 If the literalist interpretation of the passion narratives can produce hate toward Judaism, this interpretation can have the effect of portraying Christianity as a 	false and hateful	 religion.	 If the literalist interpretation of the passion narratives can produce hate toward Judaism, this interpretation can have the effect of portraying Christianity as a  false and hateful  religion.
no	X and Y	tried	true	false - true	(?!false)(\b\w+) and (\btrue)	48891	"95) -- "" the "	tried and true	", "" says store manager Marie Napoli; stuffed animals; children's books; DVDs of Imax films ($34."	"95) -- "" the  tried and true , "" says store manager Marie Napoli; stuffed animals; children's books; DVDs of Imax films ($34."
no	X and Y	strong	true	false - true	(?!false)(\b\w+) and (\btrue)	26567	 May our dear Lord and Saviour Jesus Christ bless you and show Himself 	strong and true	 on your behalf.	 May our dear Lord and Saviour Jesus Christ bless you and show Himself  strong and true  on your behalf.
no	X and Y	sweet	true	false - true	(?!false)(\b\w+) and (\btrue)	2807	" "" Then he takes another swing, and this time the ball flies "	sweet and true	 down the middle of the vast fairway.	" "" Then he takes another swing, and this time the ball flies  sweet and true  down the middle of the vast fairway."
no	X and Y	true	sustainable	false - true	(\btrue) and (?!false)(\b\w+)	6179	 All our energy needs would be completely met (a 	true and sustainable	 Kardashev I civilization).	 All our energy needs would be completely met (a  true and sustainable  Kardashev I civilization).
no	X and Y	true	definitive	false - true	(\btrue) and (?!false)(\b\w+)	43760	 We are assured that this is the way to the resurrection, to 	true and definitive	 life with God.	 We are assured that this is the way to the resurrection, to  true and definitive  life with God.
no	X and Y	false	misleading	false - true	(\bfalse) and (?!true)(\b\w+)	1150	" "" For them to change it is proof "" that they use "" "	false and misleading	" statements, "" said Crowley, the pro-211 spokesman."	" "" For them to change it is proof "" that they use ""  false and misleading  statements, "" said Crowley, the pro-211 spokesman."
no	X and Y	true	rare	false - true	(\btrue) and (?!false)(\b\w+)	3926	 -- but they were reinterpreted as more spread out in time and less intense in effect: in short, as intensifications of ordinary processes, rather than impositions of 	true and rare	 catastrophes.	 -- but they were reinterpreted as more spread out in time and less intense in effect: in short, as intensifications of ordinary processes, rather than impositions of  true and rare  catastrophes.
no	X and Y	Tried	true	false - true	(?!false)(\b\w+) and (\btrue)	2103	" "" NBC's Brandon Tartikoff: "" "	Tried and true	 equals dead and buried.	" "" NBC's Brandon Tartikoff: ""  Tried and true  equals dead and buried."
no	X and Y	false	misleading	false - true	(\bfalse) and (?!true)(\b\w+)	47245	" had been slow to crack down on drug ads that included "" "	false and misleading	" "" claims, he said in a telephone interview."	" had been slow to crack down on drug ads that included ""  false and misleading  "" claims, he said in a telephone interview."
no	X and Y	false	negative	false - true	(\bfalse) and (?!true)(\b\w+)	29847	 People will be left to draw @ @ @ @ @ @ @ @ @ @ worse, one-sided, potentially 	false and negative	 content.	 People will be left to draw @ @ @ @ @ @ @ @ @ @ worse, one-sided, potentially  false and negative  content.
no	X and Y	positive	false	false - true	(?!true)(\b\w+) and (\bfalse)	13458	 False 	positive and false	 negative results are highlighted by bold borders.	 False  positive and false  negative results are highlighted by bold borders.
no	X and Y	real	true	false - true	(?!false)(\b\w+) and (\btrue)	14738	 Gets a nice steady rhythm to it, something you can count on, something as 	real and true	 as night follows day.	 Gets a nice steady rhythm to it, something you can count on, something as  real and true  as night follows day.
no	X and Y	natural	true	false - true	(?!false)(\b\w+) and (\btrue)	10307	 But maintaining the fiction that the ideals constructing historical professionalism are 	natural and true	 depends upon their generalization to all fields of history.	 But maintaining the fiction that the ideals constructing historical professionalism are  natural and true  depends upon their generalization to all fields of history.
no	X and Y	noble	true	false - true	(?!false)(\b\w+) and (\btrue)	8819	 BLAG: Your humble servant I am, good and 	noble and true	.	 BLAG: Your humble servant I am, good and  noble and true .
no	X and Y	true	urgent	false - true	(\btrue) and (?!false)(\b\w+)	41673	 This is particularly 	true and urgent	 given that functional assessments and positive interventions and supports are mandated in IDEA.	 This is particularly  true and urgent  given that functional assessments and positive interventions and supports are mandated in IDEA.
no	X and Y	tried	true	false - true	(?!false)(\b\w+) and (\btrue)	17660	 However, the originality Pixar prides itself on and devotees have come to expect can be seen as a liability in an industry that squeezes every last dime out of the 	tried and true	.	 However, the originality Pixar prides itself on and devotees have come to expect can be seen as a liability in an industry that squeezes every last dime out of the  tried and true .
no	X and Y	true	disturbing	false - true	(\btrue) and (?!false)(\b\w+)	42336	 Though Jane Hansen's articles may be 	true and disturbing	, they still serve the same white, affluent class'need for the perfect victim: innocent children doomed solely by the actions of others.	 Though Jane Hansen's articles may be  true and disturbing , they still serve the same white, affluent class'need for the perfect victim: innocent children doomed solely by the actions of others.
no	X and Y	false	proud	false - true	(\bfalse) and (?!true)(\b\w+)	14846	 God will certainly punish and restrain 	false and proud	 men.	 God will certainly punish and restrain  false and proud  men.
no	X and Y	true	full	false - true	(\btrue) and (?!false)(\b\w+)	39183	 Then real individual man will become a 	true and full	" "" species being."	" Then real individual man will become a  true and full  "" species being."
no	X as well as Y	positive	false	false - true	(?!true)(\b\w+) as well as (\bfalse)	42165	 This will allow the most appropriate statistical analyses to be performed in order to avoid possible false 	positive as well as false	 negative results.	 This will allow the most appropriate statistical analyses to be performed in order to avoid possible false  positive as well as false  negative results.
no	X or Y	True	false	false - true	(?!true)(\b\w+) or (\bfalse)	48924	; 1G FIBER FOOD FOR THOUGHT Bananas 	True or false	?	; 1G FIBER FOOD FOR THOUGHT Bananas  True or false ?
no	X or Y	absent	false	false - true	(?!true)(\b\w+) or (\bfalse)	20462	 If the boolean argument is 	absent or false	, then the check @ @ @ @ @ @ @ @ @ @.	 If the boolean argument is  absent or false , then the check @ @ @ @ @ @ @ @ @ @.
no	X or Y	false	distorted	false - true	(\bfalse) or (?!true)(\b\w+)	13617	 Films of this type when exported are harmful by presenting 	false or distorted	 impressions of American life as a whole.	 Films of this type when exported are harmful by presenting  false or distorted  impressions of American life as a whole.
no	X or Y	exaggerated	false	false - true	(?!true)(\b\w+) or (\bfalse)	37668	 The promoters then start to circulate 	exaggerated or false	 press releases, and use Internet sites and chat rooms to promote the stock.	 The promoters then start to circulate  exaggerated or false  press releases, and use Internet sites and chat rooms to promote the stock.
no	X or Y	true	immutable	false - true	(\btrue) or (?!false)(\b\w+)	43520	 Values do not describe anything 	true or immutable	 about the world but merely reflect the human psychophysical drive that Nietzsche calls the Will to Power.	 Values do not describe anything  true or immutable  about the world but merely reflect the human psychophysical drive that Nietzsche calls the Will to Power.
no	X or Y	contradictory	false	false - true	(?!true)(\b\w+) or (\bfalse)	1053	" "" Does using a phrase as a mere expression excuse it from being "	contradictory or false	?	" "" Does using a phrase as a mere expression excuse it from being  contradictory or false ?"
no	X or Y	inflammatory	false	false - true	(?!true)(\b\w+) or (\bfalse)	20188	 If I did, then there a lot of things that liberals and the media say that I find 	inflammatory or false	 and should be regulated.	 If I did, then there a lot of things that liberals and the media say that I find  inflammatory or false  and should be regulated.
no	X or Y	authentic	true	false - true	(?!false)(\b\w+) or (\btrue)	41911	 This phenomenon of hiding behind a website or brand and not being 	authentic or true	 to yourself is precisely the main reason why I re-branded from a company website and brand to a personal brand and domain.	 This phenomenon of hiding behind a website or brand and not being  authentic or true  to yourself is precisely the main reason why I re-branded from a company website and brand to a personal brand and domain.
no	X or Y	false	fraudulent	false - true	(\bfalse) or (?!true)(\b\w+)	33037	 Spence vehemently denies her findings are 	false or fraudulent	.	 Spence vehemently denies her findings are  false or fraudulent .
no	X or Y	incomplete	false	false - true	(?!true)(\b\w+) or (\bfalse)	47287	 history is studded with incidents in which military officers and official spokesmen at the White House @ @ @ @ @ @ @ @ @ @ 	incomplete or false	 information.	 history is studded with incidents in which military officers and official spokesmen at the White House @ @ @ @ @ @ @ @ @ @  incomplete or false  information.
no	X or Y	false	deceptive	false - true	(\bfalse) or (?!true)(\b\w+)	43179	 Typically, the increased trading volume is generated by inducing unwitting investors to purchase shares of the targeted security through 	false or deceptive	 sales practices and/or public information releases.	 Typically, the increased trading volume is generated by inducing unwitting investors to purchase shares of the targeted security through  false or deceptive  sales practices and/or public information releases.
no	X or Y	true	correct	false - true	(\btrue) or (?!false)(\b\w+)	8252	 As is the case with a great many things, the fact that many people believe something to be true or correct, this does not MAKE it 	true or correct	.	 As is the case with a great many things, the fact that many people believe something to be true or correct, this does not MAKE it  true or correct .
no	X or Y	libelous	false	false - true	(?!true)(\b\w+) or (\bfalse)	44303	 We will not edit comments, but we also will not approve those that are abusive, off-topic, attack another person, include profanity or contain information we know to be 	libelous or false	.	 We will not edit comments, but we also will not approve those that are abusive, off-topic, attack another person, include profanity or contain information we know to be  libelous or false .
no	X or Y	false	changed	false - true	(\bfalse) or (?!true)(\b\w+)	4381	 64 Others post messages using a deliberately 	false or changed	 address, and this too undermines the openness and utility of the Internet.	 64 Others post messages using a deliberately  false or changed  address, and this too undermines the openness and utility of the Internet.
no	X or Y	false	inflated	false - true	(\bfalse) or (?!true)(\b\w+)	12120	 Democrats have spent years searing into the culture 	false or inflated	 examples of conservatives as hypocrites, Luddites, sexists, racists, etc.	 Democrats have spent years searing into the culture  false or inflated  examples of conservatives as hypocrites, Luddites, sexists, racists, etc.
no	X or Y	false	deceptive	false - true	(\bfalse) or (?!true)(\b\w+)	1666	" "" If something is "	false or deceptive	 or unfair you point it out, but you really are unable to re-research the whole documentary.	" "" If something is  false or deceptive  or unfair you point it out, but you really are unable to re-research the whole documentary."
no	X or Y	true	right	false - true	(\btrue) or (?!false)(\b\w+)	44625	 What is 	true or right	 or to be believed in one culture or time is not necessarily true in any other culture or time.	 What is  true or right  or to be believed in one culture or time is not necessarily true in any other culture or time.
no	X or Y	false	misleading	false - true	(\bfalse) or (?!true)(\b\w+)	47533	 n72 In addition, the Food and Drug Administration Amendments Act of 2007 (FDAAA) gave the FDA the authority to impose civil penalties directly for 	false or misleading	 advertisements.	 n72 In addition, the Food and Drug Administration Amendments Act of 2007 (FDAAA) gave the FDA the authority to impose civil penalties directly for  false or misleading  advertisements.
no	X or Y	false	worse	false - true	(\bfalse) or (?!true)(\b\w+)	21416	 In fact of the statements looked at by Politifact, 39% are mostly 	false or worse	 @ @ @ @ @ @ @ @ @ @ the primary because it would over-shadow everything else.	 In fact of the statements looked at by Politifact, 39% are mostly  false or worse  @ @ @ @ @ @ @ @ @ @ the primary because it would over-shadow everything else.
no	X or Y	dull	false	false - true	(?!true)(\b\w+) or (\bfalse)	2583	" "" The Piano Lesson "" moves easily and naturally through its nearly three hours, but it flies by without a "	dull or false	 moment.	" "" The Piano Lesson "" moves easily and naturally through its nearly three hours, but it flies by without a  dull or false  moment."
no	X or Y	multiple	false	false - true	(?!true)(\b\w+) or (\bfalse)	33309	 Subsequent attempts made by the same individual to submit multiple entries by using 	multiple or false	 contact information or otherwise may be disqualified.	 Subsequent attempts made by the same individual to submit multiple entries by using  multiple or false  contact information or otherwise may be disqualified.
no	X or Y	provisional	false	false - true	(?!true)(\b\w+) or (\bfalse)	31085	 Scholars have long been concerned over the many temporary, 	provisional or false	, endings, the hesitations that mark All's Well.	 Scholars have long been concerned over the many temporary,  provisional or false , endings, the hesitations that mark All's Well.
no	X or Y	True	false	false - true	(?!true)(\b\w+) or (\bfalse)	255	 	True or false	: Many of the early naturalists (1600s to mid-1800s) whose work cataloged and classified species on Earth were working for the greater glory of God and did not believe forms could change over time.	  True or false : Many of the early naturalists (1600s to mid-1800s) whose work cataloged and classified species on Earth were working for the greater glory of God and did not believe forms could change over time.
no	X or Y	inaccurate	false	false - true	(?!true)(\b\w+) or (\bfalse)	40579	 They evaluate the statements, ads and other claims made by politicians and provide rebuttals to 	inaccurate or false	 information.	 They evaluate the statements, ads and other claims made by politicians and provide rebuttals to  inaccurate or false  information.
no	X or Y	True	false	false - true	(?!true)(\b\w+) or (\bfalse)	3510	" ("" "	True or false	:'I would not care to see a motion picture about the life of the otter.	" (""  True or false :'I would not care to see a motion picture about the life of the otter."
no	X or Y	true	scientific	false - true	(\btrue) or (?!false)(\b\w+)	41409	 This falsification also does not require that the Bible even be 	true or scientific	 to satisfy the challenge.	 This falsification also does not require that the Bible even be  true or scientific  to satisfy the challenge.
no	X or Y	True	false	false - true	(?!true)(\b\w+) or (\bfalse)	259	 	True or false	: When investor optimism is at very high levels, that is a bullish sign.	  True or false : When investor optimism is at very high levels, that is a bullish sign.
no	X or Y	true	meaningful	false - true	(\btrue) or (?!false)(\b\w+)	37758	 The real question is why the standard set of beliefs should be more 	true or meaningful	 than this new one.	 The real question is why the standard set of beliefs should be more  true or meaningful  than this new one.
no	X or Y	true	authentic	false - true	(\btrue) or (?!false)(\b\w+)	37322	 The original is seen as less 	true or authentic	 than its copies, descendants, or avatars, which can better express what a thing has to say than the thing can express it itself.	 The original is seen as less  true or authentic  than its copies, descendants, or avatars, which can better express what a thing has to say than the thing can express it itself.
no	X or Y	false	personal	false - true	(\bfalse) or (?!true)(\b\w+)	43734	 We all want what's best for our country - get involved so you have some say in how it's done instead of settling for making 	false or personal	 attacks.	 We all want what's best for our country - get involved so you have some say in how it's done instead of settling for making  false or personal  attacks.
no	X or Y	false	limited	false - true	(\bfalse) or (?!true)(\b\w+)	1939	" "" It's more helpful to say, "" Our lack of consciousness produces a "	false or limited	 perception @ @ @ @ @ @ @ @ @ @ we perceive ourselves through narcissism, vanity, victimhood, and entitlement.	" "" It's more helpful to say, "" Our lack of consciousness produces a  false or limited  perception @ @ @ @ @ @ @ @ @ @ we perceive ourselves through narcissism, vanity, victimhood, and entitlement."
no	X or Y	true	honest	false - true	(\btrue) or (?!false)(\b\w+)	46533	 You have n't written anything 	true or honest	 yet that was n't actually trivial.	 You have n't written anything  true or honest  yet that was n't actually trivial.
no	X or Y	false	incomplete	false - true	(\bfalse) or (?!true)(\b\w+)	20436	 If such information is withheld and decisions are made based on 	false or incomplete	 information then the conscience was not free to make the decision.	 If such information is withheld and decisions are made based on  false or incomplete  information then the conscience was not free to make the decision.
no	X or Y	false	misleading	false - true	(\bfalse) or (?!true)(\b\w+)	17579	 However, it could become safety-related if the label did not state the presence of an allergen, or if the label bore a 	false or misleading	 claim regarding health or nutritional benefits.	 However, it could become safety-related if the label did not state the presence of an allergen, or if the label bore a  false or misleading  claim regarding health or nutritional benefits.
no	X or Y	false	inaccurate	false - true	(\bfalse) or (?!true)(\b\w+)	17797	 I also find it interesting that you do n't seem to be denying any of the information on these signs as 	false or inaccurate	.	 I also find it interesting that you do n't seem to be denying any of the information on these signs as  false or inaccurate .
no	X or Y	true	proven	false - true	(\btrue) or (?!false)(\b\w+)	6373	 Also they were calling the judge to claim I was harassing them from behind bars which never was 	true or proven	 but they still kept me there longer.	 Also they were calling the judge to claim I was harassing them from behind bars which never was  true or proven  but they still kept me there longer.
no	X or Y	true	untrue	false - true	(\btrue) or (?!false)(\b\w+)	27333	 My description of your anger may be 	true or untrue	, but it's not legitimate criticism.	 My description of your anger may be  true or untrue , but it's not legitimate criticism.
no	X or Y	false	fraudulent	false - true	(\bfalse) or (?!true)(\b\w+)	40174	 These schemes take a similar approach, by disseminating 	false or fraudulent	 information in an effort to cause price decreases in a particular company's stock.	 These schemes take a similar approach, by disseminating  false or fraudulent  information in an effort to cause price decreases in a particular company's stock.
no	X or Y	false	misleading	false - true	(\bfalse) or (?!true)(\b\w+)	26631	" McMillen to stop "" "	false or misleading	" "" promotions of the painkiller Celebrex, saying he minimized risks and touted it for unapproved uses."	" McMillen to stop ""  false or misleading  "" promotions of the painkiller Celebrex, saying he minimized risks and touted it for unapproved uses."
no	X or Y	believable	true	false - true	(?!false)(\b\w+) or (\btrue)	18225	 I do n't expect millions from one site; I wo n't say I do n't want millions because that would not be 	believable or true	, but I just want a decent income.	 I do n't expect millions from one site; I wo n't say I do n't want millions because that would not be  believable or true , but I just want a decent income.
no	X or Y	true	universal	false - true	(\btrue) or (?!false)(\b\w+)	28887	 One is left to debate whether the text possesses one 	true or universal	 meaning or an indefinite number of individual meanings (in which case the thinker's interpretation will be true only to its own criteria of truth).	 One is left to debate whether the text possesses one  true or universal  meaning or an indefinite number of individual meanings (in which case the thinker's interpretation will be true only to its own criteria of truth).
no	X or Y	True	false	false - true	(?!true)(\b\w+) or (\bfalse)	4318	 4 	True or false	: Most sunscreens protect skin against UVA damage.	 4  True or false : Most sunscreens protect skin against UVA damage.
no	X or Y	true	fair	false - true	(\btrue) or (?!false)(\b\w+)	33771	 Thanks to his surfin'-demagogue act at Woodstock'99, Bizkit singer Fred Durst became that event's designated asshole, the platinum hypocrite who inspired Sunday's white riot -- which is not 	true or fair	.	 Thanks to his surfin'-demagogue act at Woodstock'99, Bizkit singer Fred Durst became that event's designated asshole, the platinum hypocrite who inspired Sunday's white riot -- which is not  true or fair .
no	X or Y	true	worthwhile	false - true	(\btrue) or (?!false)(\b\w+)	10059	 But frankly, I've stopped reading almost all articles discussing the fallacies of religion by now -- not because they are n't 	true or worthwhile	, but because they do n't contribute anything new to my skepticism.	 But frankly, I've stopped reading almost all articles discussing the fallacies of religion by now -- not because they are n't  true or worthwhile , but because they do n't contribute anything new to my skepticism.
no	X or Y	incorrect	false	false - true	(?!true)(\b\w+) or (\bfalse)	33402	 Such statements are intended to reflect Sybase's current views with respect to future events and may ultimately prove to be 	incorrect or false	.	 Such statements are intended to reflect Sybase's current views with respect to future events and may ultimately prove to be  incorrect or false .
no	X or Y	false	deceptive	false - true	(\bfalse) or (?!true)(\b\w+)	4461	 <h> III @ @ @ @ @ @ @ @ @ @ now to problem advertising: that is, advertising that distorts the market by disseminating 	false or deceptive	 claims.	 <h> III @ @ @ @ @ @ @ @ @ @ now to problem advertising: that is, advertising that distorts the market by disseminating  false or deceptive  claims.
no	X or Y	True	false	false - true	(?!true)(\b\w+) or (\bfalse)	262	 	True or false	: You will always remember where you were when Derek Jeter got his 3,000th hit.	  True or false : You will always remember where you were when Derek Jeter got his 3,000th hit.
no	X or Y	false	misleading	false - true	(\bfalse) or (?!true)(\b\w+)	7794	 Any information that was contradictory was discarded as 	false or misleading	.	 Any information that was contradictory was discarded as  false or misleading .
no	X or Y	false	misleading	false - true	(\bfalse) or (?!true)(\b\w+)	13727	 First, a reporter should not let himself be used by a source to peddle 	false or misleading	 information @ @ @ @ @ @ @ @ @ @ endow officials with reputations they do not deserve.	 First, a reporter should not let himself be used by a source to peddle  false or misleading  information @ @ @ @ @ @ @ @ @ @ endow officials with reputations they do not deserve.
no	X or Y	false	absurd	false - true	(\bfalse) or (?!true)(\b\w+)	41046	 They will believe anything, however 	false or absurd	, rather than the Holy Scriptures; thus they show the enmity of their hearts against a holy God.	 They will believe anything, however  false or absurd , rather than the Holy Scriptures; thus they show the enmity of their hearts against a holy God.
no	X or Y	possible	true	false - true	(?!false)(\b\w+) or (\btrue)	26931	 More likely, because Kovacks's past was too different from his present to seem 	possible or true	.	 More likely, because Kovacks's past was too different from his present to seem  possible or true .
no	X or Y	false	libelous	false - true	(\bfalse) or (?!true)(\b\w+)	37461	 The piece was killed not because it was 	false or libelous	 but because it might have brought a disruptive lawsuit at the time the network was being sold by Laurence Tisch to Westinghouse.	 The piece was killed not because it was  false or libelous  but because it might have brought a disruptive lawsuit at the time the network was being sold by Laurence Tisch to Westinghouse.
no	X or Y	True	false	false - true	(?!true)(\b\w+) or (\bfalse)	3996	 // FOOD FIBS SELF TEST Photograph 	True or false	: Soy milk is as calcium -- rich as cow juice.	 // FOOD FIBS SELF TEST Photograph  True or false : Soy milk is as calcium -- rich as cow juice.
no	X or Y	false	misleading	false - true	(\bfalse) or (?!true)(\b\w+)	7151	 And it's an assumption that will be tested in court, thanks to the proliferation of lawsuits against law schools, alleging that these schools issued 	false or misleading	 employment statistics.	 And it's an assumption that will be tested in court, thanks to the proliferation of lawsuits against law schools, alleging that these schools issued  false or misleading  employment statistics.
no	X or Y	false	misleading	false - true	(\bfalse) or (?!true)(\b\w+)	16205	" He would virtually deny constitutional protection to violent pornography, 276 to a limited category of hate speech ("" fighting words "" involving race, color, or creed), 277 and to "	false or misleading	 commercial advertising.	" He would virtually deny constitutional protection to violent pornography, 276 to a limited category of hate speech ("" fighting words "" involving race, color, or creed), 277 and to  false or misleading  commercial advertising."
no	X or Y	fair	true	false - true	(?!false)(\b\w+) or (\btrue)	41651	 This is not 	fair or true	" reporting and could be termed "" academic fraud ""."	" This is not  fair or true  reporting and could be termed "" academic fraud ""."
no	X or Y	false	easy	false - true	(\bfalse) or (?!true)(\b\w+)	27946	 None of this should induce a 	false or easy	 optimism.	 None of this should induce a  false or easy  optimism.
no	X or Y	true	superior	false - true	(\btrue) or (?!false)(\b\w+)	33778	 That Americans are mostly Christian is more likely the result of Christianity being taught there, and not the result of that religion actually being 	true or superior	 to any other.	 That Americans are mostly Christian is more likely the result of Christianity being taught there, and not the result of that religion actually being  true or superior  to any other.
no	X or Y	false	hyperbolic	false - true	(\bfalse) or (?!true)(\b\w+)	48022	 when writing is to make 	false or hyperbolic	 claims he does n't agree with, as a form of comedy or attention-getting or interactive theater with his blog readers?	 when writing is to make  false or hyperbolic  claims he does n't agree with, as a form of comedy or attention-getting or interactive theater with his blog readers?
no	X or Y	True	false	false - true	(?!true)(\b\w+) or (\bfalse)	252	 	True or false	: Apart from understanding animal and perhaps human origins and relationships, the study of evolution has provided discoveries of great economic value to human societies.	  True or false : Apart from understanding animal and perhaps human origins and relationships, the study of evolution has provided discoveries of great economic value to human societies.
